epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.8761,3.62728,4.52815,4.17087,0.01418,0.03704,0.00447,0.00095,3.49417,3.90924,4.30694,0.00332599,0.00332599,0.00332599
2,101.177,3.02289,3.51699,3.49986,0.5868,0.09752,0.05219,0.01303,2.74773,2.96493,3.22161,0.0065934,0.0065934,0.0065934
3,152.769,2.47664,2.80037,2.79626,0.19697,0.2572,0.0911,0.02713,2.46872,3.00367,2.87121,0.0097948,0.0097948,0.0097948
4,193.119,2.20452,2.48456,2.44052,0.29956,0.27496,0.22919,0.08203,2.22999,2.40416,2.47424,0.009703,0.009703,0.009703
5,241.141,2.04789,2.25003,2.24872,0.28597,0.39418,0.31334,0.12716,1.99887,2.03677,2.23678,0.009604,0.009604,0.009604
6,282.166,1.96302,2.09472,2.12853,0.4197,0.33796,0.32153,0.12619,2.0297,2.14353,2.26053,0.009505,0.009505,0.009505
7,328.065,1.89759,2.00159,2.06377,0.42857,0.43361,0.40703,0.17649,1.8471,1.85041,2.06354,0.009406,0.009406,0.009406
8,374.366,1.84739,1.9218,2.01782,0.51757,0.48232,0.45214,0.20419,1.8249,1.72038,2.02532,0.009307,0.009307,0.009307
9,430.905,1.82236,1.86047,1.98303,0.50286,0.5092,0.46256,0.20235,1.78684,1.72091,2.0158,0.009208,0.009208,0.009208
10,475.908,1.78206,1.78937,1.94661,0.51049,0.51776,0.45555,0.21391,1.76694,1.65086,1.95711,0.009109,0.009109,0.009109
11,521.259,1.76335,1.75705,1.92105,0.60814,0.49653,0.5078,0.24559,1.72281,1.57157,1.92452,0.00901,0.00901,0.00901
12,567.584,1.74162,1.70305,1.89758,0.57187,0.52537,0.51033,0.24611,1.73101,1.53785,1.91534,0.008911,0.008911,0.008911
13,607.271,1.71335,1.65772,1.86205,0.6361,0.53282,0.54354,0.26465,1.68673,1.47769,1.86633,0.008812,0.008812,0.008812
14,654.34,1.69104,1.61964,1.85817,0.60711,0.54668,0.55223,0.26651,1.67628,1.52697,1.85727,0.008713,0.008713,0.008713
15,710.77,1.68354,1.57793,1.82607,0.65916,0.55839,0.56669,0.28541,1.65941,1.45153,1.84726,0.008614,0.008614,0.008614
16,751.785,1.67451,1.56485,1.80765,0.66072,0.55511,0.58708,0.31547,1.64321,1.39134,1.84338,0.008515,0.008515,0.008515
17,796.67,1.65372,1.53959,1.80391,0.67716,0.57235,0.60422,0.31259,1.63303,1.35643,1.82896,0.008416,0.008416,0.008416
18,841.722,1.6432,1.5173,1.79005,0.70677,0.58111,0.60151,0.31773,1.60967,1.35502,1.81933,0.008317,0.008317,0.008317
19,881.647,1.63481,1.49776,1.78018,0.71279,0.61363,0.64652,0.34081,1.5892,1.33195,1.78261,0.008218,0.008218,0.008218
